[2026-02-21T22:26:27.035Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T22:27:17.293Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T22:30:51.762Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu RGPD ouvert
[2026-02-21T22:30:53.745Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T22:32:25.843Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:39:11.966Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:39:29.424Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → row
[2026-02-21T22:39:39.700Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T22:39:51.623Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → section
[2026-02-21T22:39:55.958Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T22:48:26.286Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu RGPD ouvert
[2026-02-21T22:48:27.597Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T22:48:36.109Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:48:45.193Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Séparateurs désactivés
[2026-02-21T22:48:51.883Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T22:49:42.173Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Séparateurs activés
[2026-02-21T22:49:44.276Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → row
[2026-02-21T22:52:36.101Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:52:45.439Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → column
[2026-02-21T22:52:56.989Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Séparateurs désactivés
[2026-02-21T22:53:05.467Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → row
[2026-02-21T22:53:15.297Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Disposition → section
[2026-02-21T22:53:48.729Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-retirer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Admin retiré : user:598076783186935808
[2026-02-21T22:53:54.725Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-retirer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Admin retiré : role:1474861822128554016
[2026-02-21T22:54:02.489Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-ajouter | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Admin ajouté : utilisateur 598076783186935808
[2026-02-21T22:54:12.933Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-ajouter | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Admin ajouté : rôle 1474861822128554016
[2026-02-21T23:03:42.727Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T23:03:48.067Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Tous les logs désactivés
[2026-02-21T23:03:49.736Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Tous les logs activés
[2026-02-21T23:03:53.545Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels activés
[2026-02-21T23:03:55.849Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels désactivés
